date,Bitcoin_unscaled,Bitcoin_monthly,isPartial,scale,Bitcoin
2021-04-21,64,38.0,,0.38,24.32
2021-04-22,69,38.0,,0.38,26.22
2021-04-23,99,38.0,,0.38,37.62
2021-04-24,70,38.0,,0.38,26.6
2021-04-25,62,38.0,,0.38,23.56
2021-04-26,70,38.0,,0.38,26.6
2021-04-27,68,38.0,,0.38,25.84
2021-04-28,60,38.0,,0.38,22.8
2021-04-29,54,38.0,,0.38,20.52
2021-04-30,47,38.0,,0.38,17.86
2021-05-01,27,46.0,False,0.46,12.42
2021-05-02,25,46.0,,0.46,11.5
2021-05-03,28,46.0,,0.46,12.88
2021-05-04,33,46.0,,0.46,15.180000000000001
2021-05-05,33,46.0,,0.46,15.180000000000001
2021-05-06,28,46.0,,0.46,12.88
2021-05-07,28,46.0,,0.46,12.88
2021-05-08,30,46.0,,0.46,13.8
2021-05-09,32,46.0,,0.46,14.72
2021-05-10,31,46.0,,0.46,14.26
2021-05-11,32,46.0,,0.46,14.72
2021-05-12,35,46.0,,0.46,16.1
2021-05-13,76,46.0,,0.46,34.96
2021-05-14,47,46.0,,0.46,21.62
2021-05-15,35,46.0,,0.46,16.1
2021-05-16,38,46.0,,0.46,17.48
2021-05-17,55,46.0,,0.46,25.3
2021-05-18,44,46.0,,0.46,20.240000000000002
2021-05-19,100,46.0,,0.46,46.0
2021-05-20,75,46.0,,0.46,34.5
2021-05-21,55,46.0,,0.46,25.3
2021-05-22,48,46.0,,0.46,22.080000000000002
2021-05-23,60,46.0,,0.46,27.6
2021-05-24,55,46.0,,0.46,25.3
2021-05-25,45,46.0,,0.46,20.7
2021-05-26,36,46.0,,0.46,16.560000000000002
2021-05-27,32,46.0,,0.46,14.72
2021-05-28,35,46.0,,0.46,16.1
2021-05-29,32,46.0,,0.46,14.72
2021-05-30,30,46.0,,0.46,13.8
2021-05-31,31,46.0,,0.46,14.26
2021-06-01,67,33.0,False,0.33,22.11
2021-06-02,57,33.0,,0.33,18.810000000000002
2021-06-03,53,33.0,,0.33,17.490000000000002
2021-06-04,68,33.0,,0.33,22.44
2021-06-05,58,33.0,,0.33,19.14
2021-06-06,60,33.0,,0.33,19.8
2021-06-07,65,33.0,,0.33,21.45
2021-06-08,96,33.0,,0.33,31.68
2021-06-09,81,33.0,,0.33,26.73
2021-06-10,75,33.0,,0.33,24.75
2021-06-11,57,33.0,,0.33,18.810000000000002
2021-06-12,51,33.0,,0.33,16.830000000000002
2021-06-13,52,33.0,,0.33,17.16
2021-06-14,66,33.0,,0.33,21.78
2021-06-15,54,33.0,,0.33,17.82
2021-06-16,51,33.0,,0.33,16.830000000000002
2021-06-17,46,33.0,,0.33,15.180000000000001
2021-06-18,47,33.0,,0.33,15.510000000000002
2021-06-19,41,33.0,,0.33,13.530000000000001
2021-06-20,44,33.0,,0.33,14.520000000000001
2021-06-21,73,33.0,,0.33,24.09
2021-06-22,100,33.0,,0.33,33.0
2021-06-23,66,33.0,,0.33,21.78
2021-06-24,56,33.0,,0.33,18.48
2021-06-25,56,33.0,,0.33,18.48
2021-06-26,48,33.0,,0.33,15.84
2021-06-27,46,33.0,,0.33,15.180000000000001
2021-06-28,51,33.0,,0.33,16.830000000000002
2021-06-29,50,33.0,,0.33,16.5
2021-06-30,43,33.0,,0.33,14.190000000000001
2021-07-01,52,21.0,False,0.21,10.92
2021-07-02,48,21.0,,0.21,10.08
2021-07-03,47,21.0,,0.21,9.87
2021-07-04,49,21.0,,0.21,10.29
2021-07-05,55,21.0,,0.21,11.549999999999999
2021-07-06,47,21.0,,0.21,9.87
2021-07-07,47,21.0,,0.21,9.87
2021-07-08,56,21.0,,0.21,11.76
2021-07-09,48,21.0,,0.21,10.08
2021-07-10,39,21.0,,0.21,8.19
2021-07-11,40,21.0,,0.21,8.4
2021-07-12,46,21.0,,0.21,9.66
2021-07-13,51,21.0,,0.21,10.709999999999999
2021-07-14,52,21.0,,0.21,10.92
2021-07-15,48,21.0,,0.21,10.08
2021-07-16,47,21.0,,0.21,9.87
2021-07-17,43,21.0,,0.21,9.03
2021-07-18,44,21.0,,0.21,9.24
2021-07-19,57,21.0,,0.21,11.969999999999999
2021-07-20,80,21.0,,0.21,16.8
2021-07-21,63,21.0,,0.21,13.229999999999999
2021-07-22,55,21.0,,0.21,11.549999999999999
2021-07-23,48,21.0,,0.21,10.08
2021-07-24,48,21.0,,0.21,10.08
2021-07-25,50,21.0,,0.21,10.5
2021-07-26,100,21.0,,0.21,21.0
2021-07-27,69,21.0,,0.21,14.49
2021-07-28,66,21.0,,0.21,13.86
2021-07-29,57,21.0,,0.21,11.969999999999999
2021-07-30,50,21.0,,0.21,10.5
2021-07-31,52,21.0,,0.21,10.92
2021-08-01,73,21.0,False,0.21,15.33
2021-08-02,73,21.0,,0.21,15.33
2021-08-03,69,21.0,,0.21,14.49
2021-08-04,68,21.0,,0.21,14.28
2021-08-05,70,21.0,,0.21,14.7
2021-08-06,78,21.0,,0.21,16.38
2021-08-07,78,21.0,,0.21,16.38
2021-08-08,78,21.0,,0.21,16.38
2021-08-09,100,21.0,,0.21,21.0
2021-08-10,87,21.0,,0.21,18.27
2021-08-11,84,21.0,,0.21,17.64
2021-08-12,80,21.0,,0.21,16.8
2021-08-13,80,21.0,,0.21,16.8
2021-08-14,72,21.0,,0.21,15.12
2021-08-15,65,21.0,,0.21,13.65
2021-08-16,78,21.0,,0.21,16.38
2021-08-17,69,21.0,,0.21,14.49
