date,bitcoin sell_unscaled,bitcoin sell_monthly,isPartial,scale,bitcoin sell
2015-04-23,0,2.0,,0.02,0.0
2015-04-24,0,2.0,,0.02,0.0
2015-04-25,0,2.0,,0.02,0.0
2015-04-26,0,2.0,,0.02,0.0
2015-04-27,0,2.0,,0.02,0.0
2015-04-28,0,2.0,,0.02,0.0
2015-04-29,0,2.0,,0.02,0.0
2015-04-30,0,2.0,,0.02,0.0
2015-05-01,0,1.0,False,0.01,0.0
2015-05-02,0,1.0,,0.01,0.0
2015-05-03,0,1.0,,0.01,0.0
2015-05-04,0,1.0,,0.01,0.0
2015-05-05,0,1.0,,0.01,0.0
2015-05-06,0,1.0,,0.01,0.0
2015-05-07,0,1.0,,0.01,0.0
2015-05-08,39,1.0,,0.01,0.39
2015-05-09,0,1.0,,0.01,0.0
2015-05-10,0,1.0,,0.01,0.0
2015-05-11,0,1.0,,0.01,0.0
2015-05-12,0,1.0,,0.01,0.0
2015-05-13,0,1.0,,0.01,0.0
2015-05-14,0,1.0,,0.01,0.0
2015-05-15,0,1.0,,0.01,0.0
2015-05-16,0,1.0,,0.01,0.0
2015-05-17,100,1.0,,0.01,1.0
2015-05-18,0,1.0,,0.01,0.0
2015-05-19,0,1.0,,0.01,0.0
2015-05-20,38,1.0,,0.01,0.38
2015-05-21,0,1.0,,0.01,0.0
2015-05-22,0,1.0,,0.01,0.0
2015-05-23,0,1.0,,0.01,0.0
2015-05-24,0,1.0,,0.01,0.0
2015-05-25,0,1.0,,0.01,0.0
2015-05-26,0,1.0,,0.01,0.0
2015-05-27,0,1.0,,0.01,0.0
2015-05-28,0,1.0,,0.01,0.0
2015-05-29,0,1.0,,0.01,0.0
2015-05-30,0,1.0,,0.01,0.0
2015-05-31,0,1.0,,0.01,0.0
2015-06-01,0,2.0,False,0.02,0.0
2015-06-02,0,2.0,,0.02,0.0
2015-06-03,0,2.0,,0.02,0.0
2015-06-04,51,2.0,,0.02,1.02
2015-06-05,0,2.0,,0.02,0.0
2015-06-06,0,2.0,,0.02,0.0
2015-06-07,0,2.0,,0.02,0.0
2015-06-08,0,2.0,,0.02,0.0
2015-06-09,100,2.0,,0.02,2.0
2015-06-10,0,2.0,,0.02,0.0
2015-06-11,0,2.0,,0.02,0.0
2015-06-12,0,2.0,,0.02,0.0
2015-06-13,0,2.0,,0.02,0.0
2015-06-14,0,2.0,,0.02,0.0
2015-06-15,0,2.0,,0.02,0.0
2015-06-16,0,2.0,,0.02,0.0
2015-06-17,0,2.0,,0.02,0.0
2015-06-18,0,2.0,,0.02,0.0
2015-06-19,0,2.0,,0.02,0.0
2015-06-20,0,2.0,,0.02,0.0
2015-06-21,0,2.0,,0.02,0.0
2015-06-22,51,2.0,,0.02,1.02
2015-06-23,0,2.0,,0.02,0.0
2015-06-24,50,2.0,,0.02,1.0
2015-06-25,0,2.0,,0.02,0.0
2015-06-26,53,2.0,,0.02,1.06
2015-06-27,0,2.0,,0.02,0.0
2015-06-28,66,2.0,,0.02,1.32
2015-06-29,0,2.0,,0.02,0.0
2015-06-30,0,2.0,,0.02,0.0
2015-07-01,0,3.0,False,0.03,0.0
2015-07-02,0,3.0,,0.03,0.0
2015-07-03,0,3.0,,0.03,0.0
2015-07-04,0,3.0,,0.03,0.0
2015-07-05,0,3.0,,0.03,0.0
2015-07-06,0,3.0,,0.03,0.0
2015-07-07,49,3.0,,0.03,1.47
2015-07-08,0,3.0,,0.03,0.0
2015-07-09,0,3.0,,0.03,0.0
2015-07-10,0,3.0,,0.03,0.0
2015-07-11,0,3.0,,0.03,0.0
2015-07-12,0,3.0,,0.03,0.0
2015-07-13,49,3.0,,0.03,1.47
2015-07-14,0,3.0,,0.03,0.0
2015-07-15,0,3.0,,0.03,0.0
2015-07-16,0,3.0,,0.03,0.0
2015-07-17,52,3.0,,0.03,1.56
2015-07-18,0,3.0,,0.03,0.0
2015-07-19,69,3.0,,0.03,2.07
2015-07-20,0,3.0,,0.03,0.0
2015-07-21,100,3.0,,0.03,3.0
2015-07-22,0,3.0,,0.03,0.0
2015-07-23,0,3.0,,0.03,0.0
2015-07-24,0,3.0,,0.03,0.0
2015-07-25,0,3.0,,0.03,0.0
2015-07-26,0,3.0,,0.03,0.0
2015-07-27,49,3.0,,0.03,1.47
2015-07-28,0,3.0,,0.03,0.0
2015-07-29,0,3.0,,0.03,0.0
2015-07-30,0,3.0,,0.03,0.0
2015-07-31,0,3.0,,0.03,0.0
2015-08-01,0,2.0,False,0.02,0.0
2015-08-02,100,2.0,,0.02,2.0
